Temperature	Standard_1_1	Standard_1_2	Standard_1_3	Standard_2_1	Standard_2_2	Standard_2_3	Standard_3_1	Standard_3_2	Standard_3_3	Standard_4_1	Standard_4_2	Standard_4_3	Standard_5_1	Standard_5_2	Standard_5_3	Standard_6_1	Standard_6_2	Standard_6_3	Standard_7_1	Standard_7_2	Standard_7_3	Standard_8_1	Standard_8_2	Standard_8_3	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10
70.60	3284.27	3249.46	3153.20	3223.09	3276.89	3146.08	3195.57	3102.19	3078.37	3161.13	3228.43	3056.11	3213.03	3209.64	3165.28	3152.64	3150.07	3016.66	3205.46	3125.69	3200.68	3282.09	3175.89	3142.13	2897.86	3003.42	2747.31	3087.98	3133.97	2903.04	3215.39	3100.50	3079.80	2844.55
70.70	3282.15	3247.79	3151.75	3221.89	3274.93	3144.67	3193.61	3100.94	3076.66	3159.52	3226.76	3054.29	3211.29	3208.28	3164.07	3151.04	3148.29	3015.15	3203.90	3124.43	3198.84	3280.35	3174.26	3140.51	2896.87	3002.29	2746.38	3086.27	3132.54	2902.04	3213.78	3099.34	3078.12	2843.37
70.80	3280.19	3246.14	3150.05	3220.68	3272.98	3143.09	3191.62	3099.81	3075.06	3157.97	3225.11	3052.40	3209.45	3206.78	3162.59	3149.42	3146.63	3013.70	3202.13	3123.13	3197.13	3278.33	3172.71	3138.96	2895.76	3000.97	2745.20	3084.65	3131.34	2901.26	3212.09	3098.09	3076.38	2842.22
70.90	3278.42	3244.60	3148.44	3219.43	3271.02	3141.60	3189.73	3098.47	3073.45	3156.08	3223.49	3050.75	3207.72	3205.22	3160.89	3147.83	3145.09	3012.43	3200.49	3121.64	3195.46	3276.05	3171.28	3137.60	2894.78	2999.70	2744.02	3083.09	3130.15	2900.34	3210.38	3096.74	3074.55	2841.05
71.00	3276.85	3243.31	3147.00	3217.94	3269.16	3140.14	3188.02	3096.98	3071.83	3154.15	3222.10	3048.98	3206.11	3203.49	3159.11	3146.38	3143.44	3011.03	3199.05	3120.07	3193.65	3273.84	3170.30	3136.16	2893.67	2998.17	2742.98	3081.63	3128.88	2899.36	3208.59	3095.21	3072.81	2839.94
71.10	3275.17	3242.00	3145.22	3216.06	3267.45	3138.71	3186.15	3095.10	3070.14	3152.26	3220.39	3047.40	3204.58	3201.81	3157.41	3144.61	3141.90	3009.71	3197.35	3118.24	3191.86	3271.69	3169.53	3134.71	2892.67	2996.63	2742.11	3080.15	3127.30	2898.24	3206.86	3093.33	3071.00	2838.79
71.20	3273.48	3240.62	3143.65	3214.17	3266.10	3137.43	3184.46	3093.35	3068.68	3150.40	3218.65	3046.02	3202.94	3200.20	3155.66	3142.84	3140.29	3008.25	3195.70	3116.58	3190.06	3269.73	3168.64	3133.24	2891.65	2995.21	2741.04	3078.68	3125.85	2897.14	3205.28	3091.67	3069.43	2837.59
71.30	3271.47	3239.07	3142.24	3212.50	3264.69	3136.30	3182.59	3091.30	3067.06	3148.37	3216.90	3044.74	3201.32	3198.62	3154.11	3141.04	3138.63	3006.84	3194.26	3114.95	3188.32	3267.87	3167.56	3132.03	2890.55	2993.72	2740.18	3077.20	3124.29	2895.75	3203.69	3090.14	3067.91	2836.58
71.40	3269.55	3237.31	3140.80	3210.89	3263.29	3135.10	3180.50	3089.66	3065.50	3146.68	3214.80	3043.30	3199.66	3196.82	3152.61	3139.23	3136.74	3005.20	3192.94	3113.53	3186.76	3266.30	3166.33	3130.74	2889.28	2992.32	2739.59	3075.68	3122.65	2894.41	3202.13	3088.71	3066.38	2835.80
71.50	3267.58	3235.20	3139.31	3209.35	3261.70	3133.89	3178.47	3087.90	3063.91	3144.99	3212.32	3041.91	3197.75	3195.18	3151.10	3137.18	3135.08	3003.72	3191.29	3112.16	3185.39	3264.56	3164.61	3129.63	2888.06	2991.07	2738.92	3074.01	3121.17	2893.07	3200.53	3087.29	3064.76	2834.91
71.60	3265.62	3233.00	3138.15	3207.84	3260.13	3132.63	3176.67	3086.42	3062.31	3143.27	3210.02	3040.45	3195.62	3193.44	3149.80	3135.28	3133.52	3002.44	3189.66	3110.74	3184.15	3262.81	3162.36	3128.61	2886.73	2989.84	2738.20	3072.28	3119.89	2891.78	3198.88	3086.30	3063.19	2833.95
